CustomerId;SalesThisYear;SalesLastYear;SalesPeriodThisYear;SalesPeriodLastYear;QuantityThisYear;QuantityLastYear;QuantityPeriodThisYear;QuantityPeriodLastYear;LastChanged
1784;194818,49;474762,99;14783,48;28742,73;400;845;18;69;2019-07-05
3338;194521,63;262498,10;57815,2;23408,98;281;409;76;24;2019-12-03
1104;194345,45;632848,20;0;0;1012;3443;0;0;2019-11-20
351;194209,15;352050,41;25506,12;24172,08;362;596;45;36;2019-11-13
3039;194043,02;222465,06;30566,56;7983,34;195;236;24;11;2019-10-23
3531;192533,42;235988,52;5251,4;51228,07;254;290;10;42;2019-11-12
2119;192455,86;170618,58;8736,34;10588,36;311;299;14;10;2019-08-12
4086;192358,37;276768,74;32060,36;0;279;531;51;0;2019-12-17
2199;192121,90;146109,19;4964;1379,02;278;402;4;2;2019-12-02
1554;191522,18;207553,73;7874;13332,44;304;342;14;16;2019-08-12
2717;191110,98;416266,23;3474,77;9413,81;203;397;12;22;2019-12-09
3120;190674,06;330459,15;10735,44;12800,96;321;516;21;19;2019-09-25
1797;190672,40;409633,02;1627,76;64833,83;167;540;7;131;2019-09-27
2421;190388,65;360161,05;17674;11616,64;431;871;43;22;2019-12-04
3172;190166,28;328883,45;797;13242,49;304;500;2;18;2019-12-16
1986;189016,08;301347,40;16354,64;6893,08;298;443;21;8;2019-06-25
1764;188960,52;607618,89;39972,06;29909,64;212;713;36;53;2019-08-02
1990;188208,59;321972,30;8480,25;5868,02;215;362;13;5;2019-11-06
3932;186873,59;167611,76;27757,21;10461,24;177;167;16;13;2019-11-05
1018;186328,67;119069,23;30426,93;8066,52;693;521;80;21;2018-06-20
3958;185742,43;259343,92;28455,96;15099,10;316;421;38;15;2019-11-27
1668;185239,84;494267,73;41247,88;92651,24;332;599;74;72;2019-11-26
1588;184894,44;405657,84;5300;9514,16;300;755;8;18;2019-06-20
2682;184882,57;469581,75;34735,70;14487,14;106;247;29;4;2019-06-03
1665;184524,83;222132,30;30709,44;7214,00;292;412;44;10;2019-11-11
2760;184415,70;308481,08;13499,36;11462,84;274;509;15;16;2019-05-09
2410;184393,18;236214,33;0;0;161;228;0;0;2019-08-13
3028;184062,56;273797,82;20999,22;21632,5;231;386;28;34;2019-12-03
2293;183921,79;364589,06;27333,06;32623,2;320;560;45;48;2019-10-03
2229;183020,61;381897,64;1136,48;0;258;662;2;0;2019-10-17
1669;182314,83;264764,72;15707,88;4700,48;293;441;24;8;2019-08-09
2338;182292,35;359006,95;24094,90;34479,46;342;654;50;61;2019-10-30
3906;181026,27;225768,42;12971,1;12211,2;385;491;26;26;2019-12-16
1832;180041,01;693302,09;74030,55;30759,88;267;409;81;40;2019-12-12
2077;179238,14;299825,42;24394,14;22422,62;297;406;36;30;2019-12-02
3910;179156,96;285904,84;6061,1;15437,12;375;542;10;18;2019-08-15
1782;179052,80;370465,46;432,77;421,96;159;400;6;6;2019-12-18
1384;178011,22;199200,40;6285,2;0;292;372;16;0;2019-09-05
2973;177118,42;238659,25;1512,54;15140,24;198;320;2;22;2019-07-02
2070;176293,70;470528,04;9683,84;7048,64;314;955;16;12;2019-12-13
3018;176234,18;174924,81;25992,5;22740,43;219;210;38;19;2019-04-23
4283;176150;15000;71300;0;98;10;40;0;2019-04-24
2300;175682,38;434003,29;3136,35;17025,00;220;590;8;13;2019-12-06
4171;175207,36;140742,53;21551,16;0;262;180;33;0;2019-10-17
3355;175083,30;283905,12;58314,61;22135,59;235;369;69;26;2019-06-25
3614;175071,80;271924,21;7829,92;9324,98;266;478;11;10;2019-07-11
2579;175051,12;286404,33;39776,78;19816,86;233;417;42;29;2019-05-08
3320;174394,04;269980,82;20544,74;2915,92;274;332;38;2;2019-10-29
3802;173259,81;278930,46;0;4608,12;374;600;0;12;2019-10-31
2596;172389,71;405171,23;6105,02;27039,00;253;479;19;42;2019-11-06
1400;172328,04;402274,95;35112,38;57505,10;190;421;33;70;2019-11-06
2773;170915,10;236137,02;13645,20;5917,90;276;456;24;9;2019-09-18
3136;169739,40;382702,42;0;23649,52;322;695;0;70;2019-08-09
17;168064,64;238139,26;20402,86;37506,23;132;199;13;28;2019-11-28
2005;167417,78;410417,28;4201,88;0;215;575;4;0;2019-12-11
2009;166790,01;206708,11;9724,18;0;182;268;6;0;2019-10-21
2108;166729,67;384449,67;10060,78;2535,88;286;622;15;1;2019-09-04
3921;166056,77;319449,11;9588,44;9517,68;273;481;13;11;2019-05-23
2862;164945,06;240928,26;15425;14385;266;487;21;30;2019-03-25
1799;164598,92;106290,53;20377,02;1538,4;217;147;31;6;2019-11-18
3484;164301,40;66370,2;42826,20;9023,1;197;87;24;12;2019-11-26
2530;163976,21;302529,25;44550;5287,64;281;306;120;8;2019-08-12
3941;163721,83;226741,62;0;-8370,84;335;570;0;0;2019-10-23
3005;163675,08;336401,07;35143,55;36014,00;252;572;46;57;2019-10-08
2409;163471,4;144413,84;0;0;83;102;0;0;2019-09-26
1950;163448,40;321638,02;11038,8;8929,2;284;564;16;16;2019-08-12
3812;162589,80;271202,16;12249,68;3140;353;747;29;4;2019-12-12
1880;162513,52;352732,96;8621,4;14383,51;258;463;17;20;2019-08-28
1411;162426,31;151730,23;41821,45;13962,70;175;188;44;21;2019-09-16
3495;161515,71;65910,94;7492,96;0;121;78;4;0;2019-10-15
3552;161116,10;107459,80;3781,96;1657,74;122;115;10;4;2019-12-12
610;161043,21;376207,00;18542,73;13493,96;234;597;27;26;2019-10-28
4205;160917,68;117153,09;11183,72;0;219;138;22;0;2019-11-11
2508;160701,54;338710,27;9507;2625,2;303;652;10;6;2019-10-23
